hgnc_symbol	TIER
AAAS	2
ABCA12	2
ABCA3	2
ABCB11	2
ABCB4	2
ABCC8	2
ABCD1	2
ACAD9	2
ACADL	2
ACADM	2
ACADVL	2
ACAT1	2
ACOX1	2
ACSL4	2
ADA	2
ADAMTS13	2
ADAMTSL2	2
ADCK3	2
AFF2	2
AGL	2
AGPS	2
AGTR2	2
AHI1	2
AIRE	2
ALDH3A2	2
ALDH5A1	2
ALDH7A1	2
ALDOB	2
ALG1	2
ALG12	2
ALG2	2
ALG3	2
ALG6	2
ALG8	2
ALG9	2
ALMS1	2
ALPL	2
AMACR	2
AMT	2
ANTXR2	2
AP1S2	2
AP3B1	2
APTX	2
AR	2
ARHGEF6	2
ARHGEF9	2
ARSA	2
ARSB	2
ARSE	2
ARX	2
ASL	2
ASPA	2
ASS1	2
ATM	2
ATP6V0A2	2
ATP7A	2
ATP8B1	2
ATR	2
ATRX	2
AUH	2
B4GALT1	2
BCKDHA	2
BCKDHB	2
BCOR	2
BCS1L	2
BLM	2
BLOC1S6	2
BRWD3	2
BTD	2
BTK	2
C10orf2	2
CA2	2
CASK	2
CASP10	2
CBS	2
CD19	2
CD247	2
CD3D	2
CD3E	2
CD3G	2
CD40LG	2
CDH23	2
CDKL5	2
CEP290	2
CFP	2
CFTR	2
CHRNA1	2
CHRND	2
CHRNG	2
CLCN5	2
CLCN7	2
CLDN1	2
CLDN19	2
CLN3	2
CLN5	2
CLN6	2
CLN8	2
CLRN1	2
COG1	2
COG7	2
COG8	2
COL17A1	2
COL1A1	2
COL1A2	2
COL4A3	2
COL4A4	2
COL4A5	2
COL6A1	2
COL6A2	2
COL6A3	2
COL7A1	2
COQ2	2
COQ9	2
COX10	2
COX15	2
COX6B1	2
CPS1	2
CPT1A	2
CPT2	2
CRLF1	2
CRTAP	2
CSTB	2
CTNS	2
CTSD	2
CTSK	2
CUL4B	2
CYP11A1	2
CYP11B1	2
CYP17A1	2
CYP21A2	2
CYP27A1	2
CYP27B1	2
DBT	2
DCLRE1C	2
DCX	2
DDB2	2
DDC	2
DGUOK	2
DHCR24	2
DHCR7	2
DKC1	2
DLD	2
DLG3	2
DLL3	2
DMD	2
DMP1	2
DNAJC19	2
DNMT3B	2
DOCK8	2
DOK7	2
DOLK	2
DPAGT1	2
DPM1	2
DPYD	2
DYNC2H1	2
EDA	2
EDN3	2
EDNRB	2
EFEMP2	2
EFNB1	2
EGR2	2
EIF2AK3	2
ENPP1	2
EPM2A	2
ERBB3	2
ERCC2	2
ERCC3	2
ERCC4	2
ERCC5	2
ERCC6	2
ERCC8	2
ESCO2	2
ETFA	2
ETFB	2
ETFDH	2
ETHE1	2
EVC	2
EVC2	2
F8	2
F9	2
FAH	2
FAM126A	2
FAM20C	2
FANCC	2
FAS	2
FASLG	2
FASTKD2	1
FBLN5	2
FERMT3	2
FGA	2
FGD1	2
FGD4	2
FH	2
FKRP	2
FKTN	2
FOLR1	2
FOXG1	2
FOXN1	2
FOXP3	2
FRAS1	2
FREM2	2
FTSJ1	2
FUCA1	2
G6PC	2
G6PC3	2
G6PD	2
GAA	2
GALC	2
GALK1	2
GALT	2
GAMT	2
GBE1	2
GCDH	2
GCSH	2
GDAP1	2
GDI1	2
GFM1	2
GJB2	2
GJC2	2
GLB1	2
GLDC	2
GLE1	2
GNPTAB	2
GNRHR	2
GPC3	2
GPR98	2
GRIK2	2
GSS	2
GTF2H5	2
GUSB	2
HADH	2
HADHA	2
HADHB	2
HAMP	2
HAX1	2
HBA1	2
HBB	2
HESX1	2
HEXA	2
HEXB	2
HFE2	2
HGSNAT	2
HIBCH	2
HLCS	2
HMGCL	2
HPD	2
HPRT1	2
HSD11B2	2
HSD17B10	2
HSD17B3	2
HSD17B4	2
HSD3B2	2
HSPG2	2
HUWE1	2
ICOS	2
IDS	2
IDUA	2
IFNGR1	2
IFNGR2	2
IFT80	2
IGHMBP2	2
IKBKAP	2
IKBKG	2
IL12B	2
IL12RB1	2
IL1RAPL1	2
IL1RN	2
IL2RG	2
INSR	2
INVS	2
IQCB1	2
ITGA6	2
ITGB4	2
IVD	2
JAK3	2
KCNJ1	2
KDM5C	2
L1CAM	2
LAMA2	2
LAMA3	2
LAMB2	2
LAMB3	2
LAMC2	2
LARGE	2
LBR	2
LEPRE1	2
LHCGR	2
LHX3	2
LIFR	2
LIG4	2
LRP2	2
LRPPRC	2
LYST	2
MAN2B1	2
MBTPS2	2
MCOLN1	2
MECP2	2
MED12	2
MEFV	2
MFSD8	2
MGAT2	2
MID1	2
MKS1	2
MLC1	2
MMAA	2
MMAB	2
MMACHC	2
MOCS1	2
MOCS2	2
MOGS	2
MPDU1	2
MPI	2
MPL	2
MPV17	2
MPZ	2
MRPS16	2
MRPS22	2
MTM1	2
MUT	2
MVK	2
MYD88	2
MYO5A	2
MYO7A	2
NAGLU	2
NAGS	2
NBN	2
NDP	2
NDUFA1	2
NDUFA7	1
NDUFAF2	2
NDUFAF4	2
NDUFS3	1
NDUFS4	2
NDUFS5	1
NDUFS6	1
NDUFS7	2
NDUFS8	2
NDUFV1	2
NEB	2
NEU1	2
NEUROG3	2
NHEJ1	2
NHLRC1	2
NHS	2
NLGN4X	2
NPHP1	2
